회사명,2024 투자 금액(억),2024 투자 기업 수,2023 투자 금액(억),2023 투자 기업 수,2022 투자 금액(억),2022 투자 기업 수,2021 투자 금액(억),2021 투자 기업 수,2020 투자 금액(억),2020 투자 기업 수,전체 투자 금액(억),전체 투자 기업 수
어썸벤처스,0,0,1,2,0,0,0,0,0,0,1,2
에이씨엔디씨,1,1,0,0,0,0,0,0,0,0,1,1
연세대학교 바이오헬스기술지주회사,1,1,0,0,0,0,0,0,0,0,1,1
재단법인 대구창조경제혁신센터,0,0,0,0,1,1,0,0,0,0,1,0
제이엠비즈솔루션,1,1,0,0,0,0,0,0,0,0,1,1
지구파트너스,0.5,1,0.5,1,0,0,0,0,0,0,1,2
케이포코리아,1,1,0,0,0,0,0,0,0,0,1,1
티앤이파트너스,0,0,0,0,1,1,0,0,0,0,1,0
펜벤처스코리아,1,1,0,0,0,0,0,0,0,0,1,1
부산플랜,0,0,0,0,0.9,1,0,0,0,0,0.9,0
액틴,0,0,0.4,2,0.5,2,0,0,0,0,0.9,2
제이피벤처스,0.9,1,0,0,0,0,0,0,0,0,0.9,1
코리아스타트업빌더,0,0,0,0,0.9,1,0,0,0,0,0.9,0
가톨릭관동대학교기술지주,0,0,0.3,2,0.3,1,0,0,0.2,1,0.8,3
메인콘텐츠,0,0,0,0,0.8,2,0,0,0,0,0.8,0
인프라비즈,0,0,0,0,0.5,1,0.2,1,0.2,0,0.8,1
아이피스트,0,0,0,0,0.5,2,0.1,1,0,1,0.7,2
와이제이씨,0,0,0,0,0,0,0,0,0.7,2,0.7,2
순천향대학교기술지주회사,0,0,0,1,0.2,2,0.4,3,0,0,0.6,4
지알케이파트너스,0,0,0.6,1,0,0,0,0,0,0,0.6,1
구디파트너스,0,0,0,0,0,0,0.3,1,0.3,0,0.5,1
미래의학연구재단,0,0,0.5,1,0,0,0,0,0,0,0.5,1
아이젠,0.2,1,0,0,0,0,0,0,0.3,1,0.5,2
윕스,0,0,0,0,0.5,1,0,0,0,0,0.5,0
티랩,0,0,0.5,1,0,0,0,0,0,0,0.5,1
티지,0,0,0.5,1,0,0,0,0,0,0,0.5,1
메라클,0,0,0,0,0,0,0.2,2,0.2,0,0.4,2
성균관대학교기술지주,0,0,0,0,0.4,2,0,0,0,0,0.4,0
이암허브,0.2,1,0.2,1,0,0,0,0,0,0,0.4,2
프로펠벤처스,0.4,1,0,0,0,0,0,0,0,0,0.4,1
플린토파트너스,0.1,1,0.3,2,0,0,0,0,0,0,0.4,3
알파랩,0,0,0,0,0.1,2,0.1,3,0.1,0,0.3,3
올콘텐츠,0,0,0,0,0,0,0.1,1,0.2,2,0.3,3
재단법인 다차원 스마트 아이티 융합시스템 연구단,0,0,0,0,0,0,0.1,2,0.1,4,0.3,6
한국사회혁신금융,0,0,0,0,0.3,1,0,0,0,0,0.3,0
한국인증협회,0,0,0,0,0,0,0,0,0.3,3,0.3,3
선문대학교산학협력단,0.2,1,0,0,0,0,0,0,0,0,0.2,1
인덕대학교산학협력단,0,0,0,0,0,0,0.1,1,0.1,0,0.2,1
지티티비,0,0,0,0,0,0,0.1,1,0.1,0,0.2,1
버디아,0.1,1,0,0,0,0,0,0,0,0,0.1,1
베스트프랜즈파트너스,0,0,0,0,0.1,1,0,0,0,0,0.1,0
브라더스컨설팅,0.1,1,0,0,0,0,0,0,0,0,0.1,1
스노우볼벤처스,0,0,0.1,1,0,0,0,0,0,1,0.1,2
